GUID,FRAME,ANNOTATIONS
cpb-aacip-259-4x54hm72,11025,DUPLICATE
cpb-aacip-259-4x54hm72,16710,DUPLICATE
cpb-aacip-259-4x54hm72,16725,DUPLICATE
cpb-aacip-259-4x54hm72,16740,DUPLICATE
cpb-aacip-259-4x54hm72,16755,DUPLICATE
cpb-aacip-259-4x54hm72,16770,DUPLICATE
cpb-aacip-259-4x54hm72,16785,DUPLICATE
cpb-aacip-259-4x54hm72,4500,no text in image
cpb-aacip-259-4x54hm72,4515,DUPLICATE
cpb-aacip-259-4x54hm72,4530,DUPLICATE
cpb-aacip-259-4x54hm72,4545,DUPLICATE
cpb-aacip-259-4x54hm72,4560,DUPLICATE
cpb-aacip-259-4x54hm72,4575,DUPLICATE
cpb-aacip-259-4x54hm72,49530,",EXECUTIVE PRODUCER,KATHLEEN LYNCH"
cpb-aacip-259-4x54hm72,49545,DUPLICATE
cpb-aacip-259-4x54hm72,49560,DUPLICATE
cpb-aacip-259-4x54hm72,49575,DUPLICATE
cpb-aacip-259-4x54hm72,49590,",MANAGING EDITOR,WILLIAM JOBES
,SENIOR PRODUCERS,MICHAEL FAIRHURST
,SENIOR PRODUCERS,JANICE SELINGER"
cpb-aacip-259-4x54hm72,49605,DUPLICATE
cpb-aacip-259-4x54hm72,49620,DUPLICATE
cpb-aacip-259-4x54hm72,49635,DUPLICATE
cpb-aacip-259-4x54hm72,49650,",DIRECTOR,RAYMOND HERBERT
,ASSOCIATE DIRECTORS,RETHA SHERROD
,ASSOCIATE DIRECTORS,MICHAEL BARNHART"
cpb-aacip-259-4x54hm72,49665,DUPLICATE
cpb-aacip-259-4x54hm72,49680,DUPLICATE
cpb-aacip-259-4x54hm72,49695,DUPLICATE
cpb-aacip-259-4x54hm72,49800,",TECHNICAL DIRECTORS,JOANNE W. INGERSOLL
,TECHNICAL DIRECTORS,BOB FRACE, Jr.
,TECHNICAL DIRECTORS,LOU COPPOLA"
cpb-aacip-259-4x54hm72,49815,",OPERATIONS MANAGER,TIM O'SULLIVAN
,ASSIGNMENT EDITORS,ROGER HERNANDEZ
,ASSIGNMENT EDITORS,DAVID SCHRATWIESER
,ASSIGNMENT EDITORS,GAIL MACKLER"
cpb-aacip-259-4x54hm72,49830,DUPLICATE
cpb-aacip-259-4x54hm72,49845,DUPLICATE
cpb-aacip-259-4x54hm72,49860,",VIDEOTAPE EDITORS,PASQUALE SANGIMINO
,VIDEOTAPE EDITORS,JOE MARTIN
,VIDEOTAPE EDITORS,JIM DEVENNEY"
cpb-aacip-259-4x54hm72,49875,DUPLICATE
cpb-aacip-259-4x54hm72,49890,DUPLICATE
cpb-aacip-259-4x54hm72,49905,DUPLICATE
cpb-aacip-151-nc5s75735d,25440,
cpb-aacip-151-nc5s75735d,25455,DUPLICATE
cpb-aacip-151-nc5s75735d,25470,DUPLICATE
cpb-aacip-151-nc5s75735d,25485,DUPLICATE
cpb-aacip-151-nc5s75735d,25500,DUPLICATE
cpb-aacip-151-nc5s75735d,25515,DUPLICATE
cpb-aacip-151-nc5s75735d,25530,DUPLICATE
cpb-aacip-151-nc5s75735d,25545,DUPLICATE
cpb-aacip-151-nc5s75735d,25590,DUPLICATE
cpb-aacip-151-nc5s75735d,25605,DUPLICATE
cpb-aacip-151-nc5s75735d,25620,DUPLICATE
cpb-aacip-151-nc5s75735d,25635,DUPLICATE
cpb-aacip-151-nc5s75735d,25650,DUPLICATE
cpb-aacip-151-nc5s75735d,25665,DUPLICATE
cpb-aacip-398-00ns1wds,150,no text in image
cpb-aacip-398-00ns1wds,165,DUPLICATE
cpb-aacip-398-00ns1wds,180,DUPLICATE
cpb-aacip-398-00ns1wds,195,DUPLICATE
cpb-aacip-398-00ns1wds,210,DUPLICATE
cpb-aacip-398-00ns1wds,225,DUPLICATE
cpb-aacip-398-00ns1wds,240,DUPLICATE
cpb-aacip-398-00ns1wds,255,DUPLICATE
cpb-aacip-398-00ns1wds,270,DUPLICATE
cpb-aacip-398-00ns1wds,285,DUPLICATE
cpb-aacip-398-00ns1wds,2910,no text in image
cpb-aacip-398-00ns1wds,2925,DUPLICATE
cpb-aacip-398-00ns1wds,2940,DUPLICATE
cpb-aacip-398-00ns1wds,2955,DUPLICATE
cpb-aacip-398-00ns1wds,2970,DUPLICATE
cpb-aacip-398-00ns1wds,2985,DUPLICATE
cpb-aacip-398-00ns1wds,300,DUPLICATE
cpb-aacip-398-00ns1wds,3000,DUPLICATE
cpb-aacip-398-00ns1wds,3015,DUPLICATE
cpb-aacip-398-00ns1wds,3030,DUPLICATE
cpb-aacip-398-00ns1wds,3045,DUPLICATE
cpb-aacip-398-00ns1wds,3060,DUPLICATE
cpb-aacip-398-00ns1wds,3075,DUPLICATE
cpb-aacip-398-00ns1wds,3090,DUPLICATE
cpb-aacip-398-00ns1wds,3105,DUPLICATE
cpb-aacip-398-00ns1wds,3120,DUPLICATE
cpb-aacip-398-00ns1wds,3135,DUPLICATE
cpb-aacip-398-00ns1wds,315,DUPLICATE
cpb-aacip-398-00ns1wds,3150,DUPLICATE
cpb-aacip-398-00ns1wds,3165,DUPLICATE
cpb-aacip-398-00ns1wds,3180,DUPLICATE
cpb-aacip-398-00ns1wds,3195,DUPLICATE
cpb-aacip-398-00ns1wds,3420,DUPLICATE
cpb-aacip-398-00ns1wds,3435,DUPLICATE
cpb-aacip-398-00ns1wds,3450,DUPLICATE
cpb-aacip-398-00ns1wds,3465,DUPLICATE
cpb-aacip-398-00ns1wds,3480,DUPLICATE
cpb-aacip-398-00ns1wds,3495,DUPLICATE
cpb-aacip-398-00ns1wds,3510,DUPLICATE
cpb-aacip-398-00ns1wds,3525,DUPLICATE
cpb-aacip-398-00ns1wds,3540,DUPLICATE
cpb-aacip-398-00ns1wds,3555,DUPLICATE
cpb-aacip-398-00ns1wds,3720,DUPLICATE
cpb-aacip-398-00ns1wds,3735,DUPLICATE
cpb-aacip-398-00ns1wds,3750,DUPLICATE
cpb-aacip-398-00ns1wds,3765,DUPLICATE
cpb-aacip-398-00ns1wds,3780,DUPLICATE
cpb-aacip-398-00ns1wds,3795,DUPLICATE
cpb-aacip-398-00ns1wds,3810,DUPLICATE
cpb-aacip-398-00ns1wds,3825,DUPLICATE
cpb-aacip-398-00ns1wds,3840,DUPLICATE
cpb-aacip-398-00ns1wds,3855,DUPLICATE
cpb-aacip-398-00ns1wds,3870,DUPLICATE
cpb-aacip-398-00ns1wds,3885,DUPLICATE
cpb-aacip-398-00ns1wds,39060,DUPLICATE
cpb-aacip-398-00ns1wds,39075,DUPLICATE
cpb-aacip-398-00ns1wds,39090,DUPLICATE
cpb-aacip-398-00ns1wds,39105,DUPLICATE
cpb-aacip-398-00ns1wds,39120,DUPLICATE
cpb-aacip-398-00ns1wds,39135,DUPLICATE
cpb-aacip-398-00ns1wds,4080,DUPLICATE
cpb-aacip-398-00ns1wds,4095,DUPLICATE
cpb-aacip-398-00ns1wds,4110,DUPLICATE
cpb-aacip-398-00ns1wds,4125,DUPLICATE
cpb-aacip-398-00ns1wds,4140,DUPLICATE
cpb-aacip-398-00ns1wds,4155,DUPLICATE
cpb-aacip-398-00ns1wds,4170,DUPLICATE
cpb-aacip-398-00ns1wds,4185,DUPLICATE
cpb-aacip-398-00ns1wds,4200,DUPLICATE
cpb-aacip-398-00ns1wds,4215,DUPLICATE
cpb-aacip-398-00ns1wds,4230,DUPLICATE
cpb-aacip-398-00ns1wds,4245,DUPLICATE
cpb-aacip-398-00ns1wds,4260,DUPLICATE
cpb-aacip-398-00ns1wds,4275,DUPLICATE
cpb-aacip-398-00ns1wds,4290,DUPLICATE
cpb-aacip-398-00ns1wds,4305,DUPLICATE
cpb-aacip-398-00ns1wds,4320,DUPLICATE
cpb-aacip-398-00ns1wds,4335,DUPLICATE
cpb-aacip-398-00ns1wds,4350,DUPLICATE
cpb-aacip-398-00ns1wds,4365,DUPLICATE
cpb-aacip-398-00ns1wds,4380,DUPLICATE
cpb-aacip-398-00ns1wds,4395,DUPLICATE
cpb-aacip-398-00ns1wds,4410,DUPLICATE
cpb-aacip-398-00ns1wds,4425,DUPLICATE
cpb-aacip-398-00ns1wds,4440,DUPLICATE
cpb-aacip-398-00ns1wds,4455,DUPLICATE
cpb-aacip-398-00ns1wds,4470,DUPLICATE
cpb-aacip-398-00ns1wds,4485,DUPLICATE
cpb-aacip-398-00ns1wds,4800,DUPLICATE
cpb-aacip-398-00ns1wds,4815,DUPLICATE
cpb-aacip-398-00ns1wds,4830,DUPLICATE
cpb-aacip-398-00ns1wds,4845,DUPLICATE
cpb-aacip-398-00ns1wds,4860,DUPLICATE
cpb-aacip-398-00ns1wds,4875,DUPLICATE
cpb-aacip-398-00ns1wds,49350,DUPLICATE
cpb-aacip-398-00ns1wds,49365,DUPLICATE
cpb-aacip-398-00ns1wds,49380,DUPLICATE
cpb-aacip-398-00ns1wds,49395,DUPLICATE
cpb-aacip-398-00ns1wds,49410,DUPLICATE
cpb-aacip-398-00ns1wds,49425,DUPLICATE
cpb-aacip-398-00ns1wds,49440,DUPLICATE
cpb-aacip-398-00ns1wds,49455,DUPLICATE
cpb-aacip-398-00ns1wds,49470,DUPLICATE
cpb-aacip-398-00ns1wds,49485,DUPLICATE
cpb-aacip-398-00ns1wds,49500,DUPLICATE
cpb-aacip-398-00ns1wds,49515,DUPLICATE
cpb-aacip-398-00ns1wds,49530,",PRODUCERS,Christopher Lindsay
,PRODUCERS,Robert Kaiser"
cpb-aacip-398-00ns1wds,49545,DUPLICATE
cpb-aacip-398-00ns1wds,49560,DUPLICATE
cpb-aacip-398-00ns1wds,49575,DUPLICATE
cpb-aacip-398-00ns1wds,49590,DUPLICATE
cpb-aacip-398-00ns1wds,49605,DUPLICATE
cpb-aacip-398-00ns1wds,49620,DUPLICATE
cpb-aacip-398-00ns1wds,49635,DUPLICATE
cpb-aacip-398-00ns1wds,49650,DUPLICATE
cpb-aacip-398-00ns1wds,49665,DUPLICATE
cpb-aacip-398-00ns1wds,49680,DUPLICATE
cpb-aacip-398-00ns1wds,49695,DUPLICATE
cpb-aacip-398-00ns1wds,49710,no text in image
cpb-aacip-398-00ns1wds,49725,DUPLICATE
cpb-aacip-398-00ns1wds,49740,DUPLICATE
cpb-aacip-398-00ns1wds,49755,",CAMERA,Henry Johnson
,CAMERA,Leon Schweir
,VIDEOTAGRAPHER,Patricia Terray"
cpb-aacip-398-00ns1wds,49770,DUPLICATE
cpb-aacip-398-00ns1wds,49785,DUPLICATE
cpb-aacip-398-00ns1wds,49800,DUPLICATE
cpb-aacip-398-00ns1wds,49815,DUPLICATE
cpb-aacip-398-00ns1wds,49830,DUPLICATE
cpb-aacip-398-00ns1wds,49845,DUPLICATE
cpb-aacip-398-00ns1wds,49860,DUPLICATE
cpb-aacip-398-00ns1wds,49875,DUPLICATE
cpb-aacip-398-00ns1wds,49890,DUPLICATE
cpb-aacip-398-00ns1wds,49905,no text in image
cpb-aacip-398-00ns1wds,49920,DUPLICATE
cpb-aacip-398-00ns1wds,49935,",LIGHTING,Robert Conover
,LIGHTING,William Harrison
,LIGHTING,Ruth Sundermeyer"
cpb-aacip-398-00ns1wds,49950,DUPLICATE
cpb-aacip-398-00ns1wds,49965,DUPLICATE
cpb-aacip-398-00ns1wds,49980,DUPLICATE
cpb-aacip-398-00ns1wds,49995,DUPLICATE
cpb-aacip-398-00ns1wds,50010,DUPLICATE
cpb-aacip-398-00ns1wds,50025,DUPLICATE
cpb-aacip-398-00ns1wds,50040,DUPLICATE
cpb-aacip-398-00ns1wds,50055,DUPLICATE
cpb-aacip-398-00ns1wds,50070,DUPLICATE
cpb-aacip-398-00ns1wds,50085,no text in image
cpb-aacip-398-00ns1wds,50100,DUPLICATE
cpb-aacip-398-00ns1wds,50115,",AUDIO,Andrew Bronstein
,PRODUCTION ASSISSTANT,Lauren Richman
,PRODUCTION ASSISSTANT,Bill Stanley"
cpb-aacip-398-00ns1wds,50130,DUPLICATE
cpb-aacip-398-00ns1wds,50145,DUPLICATE
cpb-aacip-398-00ns1wds,50160,DUPLICATE
cpb-aacip-398-00ns1wds,50175,DUPLICATE
cpb-aacip-398-00ns1wds,50190,DUPLICATE
cpb-aacip-398-00ns1wds,50205,DUPLICATE
cpb-aacip-398-00ns1wds,50220,DUPLICATE
cpb-aacip-398-00ns1wds,50235,DUPLICATE
cpb-aacip-398-00ns1wds,50250,DUPLICATE
cpb-aacip-398-00ns1wds,50265,DUPLICATE
cpb-aacip-398-00ns1wds,50280,no text in image
cpb-aacip-398-00ns1wds,50295,",REMOTE SUPERVISOR,David Sheppard"
cpb-aacip-398-00ns1wds,50310,DUPLICATE
cpb-aacip-398-00ns1wds,50325,DUPLICATE
cpb-aacip-398-00ns1wds,50340,DUPLICATE
cpb-aacip-398-00ns1wds,50355,DUPLICATE
cpb-aacip-398-00ns1wds,50370,DUPLICATE
cpb-aacip-398-00ns1wds,50385,DUPLICATE
cpb-aacip-398-00ns1wds,50400,DUPLICATE
cpb-aacip-398-00ns1wds,50415,DUPLICATE
cpb-aacip-398-00ns1wds,50430,DUPLICATE
cpb-aacip-398-00ns1wds,50445,no text in image
cpb-aacip-398-00ns1wds,50460,DUPLICATE
cpb-aacip-398-00ns1wds,50475,DUPLICATE
cpb-aacip-398-00ns1wds,50490,",GRAPHICS,Bob Brooks
,GRAPHICS,Helene Malloy"
cpb-aacip-398-00ns1wds,50505,DUPLICATE
cpb-aacip-398-00ns1wds,50520,DUPLICATE
cpb-aacip-398-00ns1wds,50535,DUPLICATE
cpb-aacip-398-00ns1wds,50550,DUPLICATE
cpb-aacip-398-00ns1wds,50565,DUPLICATE
cpb-aacip-398-00ns1wds,50580,DUPLICATE
cpb-aacip-398-00ns1wds,50595,DUPLICATE
cpb-aacip-398-00ns1wds,50610,DUPLICATE
cpb-aacip-398-00ns1wds,50625,DUPLICATE
cpb-aacip-398-00ns1wds,50640,no text in image
cpb-aacip-398-00ns1wds,50655,DUPLICATE
cpb-aacip-398-00ns1wds,50670,",ENGINEER IN CHARGE,Thomas Doody"
cpb-aacip-398-00ns1wds,50685,DUPLICATE
cpb-aacip-398-00ns1wds,50700,DUPLICATE
cpb-aacip-398-00ns1wds,50715,DUPLICATE
cpb-aacip-398-00ns1wds,50730,DUPLICATE
cpb-aacip-398-00ns1wds,50745,DUPLICATE
cpb-aacip-398-00ns1wds,50760,DUPLICATE
cpb-aacip-398-00ns1wds,50775,DUPLICATE
cpb-aacip-398-00ns1wds,50790,DUPLICATE
cpb-aacip-398-00ns1wds,50805,DUPLICATE
cpb-aacip-398-00ns1wds,50820,DUPLICATE
cpb-aacip-398-00ns1wds,50835,no text in image
cpb-aacip-398-00ns1wds,50850,DUPLICATE
cpb-aacip-398-00ns1wds,50865,no text in image
cpb-aacip-398-00ns1wds,50880,",VIDEO,Frank Dorazio
,VIDEO,Don Scroggs
,VIDEO,John Zatowski
,VIDEOTAPE EDITOR,Nelson Warner"
cpb-aacip-398-00ns1wds,50895,DUPLICATE
cpb-aacip-398-00ns1wds,50910,DUPLICATE
cpb-aacip-398-00ns1wds,50925,DUPLICATE
cpb-aacip-398-00ns1wds,50940,DUPLICATE
cpb-aacip-398-00ns1wds,50955,DUPLICATE
cpb-aacip-398-00ns1wds,50970,DUPLICATE
cpb-aacip-398-00ns1wds,50985,DUPLICATE
cpb-aacip-398-00ns1wds,51000,DUPLICATE
cpb-aacip-398-00ns1wds,51015,DUPLICATE
cpb-aacip-398-00ns1wds,51030,no text in image
cpb-aacip-398-00ns1wds,51045,DUPLICATE
cpb-aacip-398-00ns1wds,51060,DUPLICATE
cpb-aacip-398-00ns1wds,51075,",ASSOCIATE DIRECTOR,Robert Comiskey"
cpb-aacip-398-00ns1wds,51090,DUPLICATE
cpb-aacip-398-00ns1wds,51105,DUPLICATE
cpb-aacip-398-00ns1wds,51120,DUPLICATE
cpb-aacip-398-00ns1wds,51135,DUPLICATE
cpb-aacip-398-00ns1wds,51150,DUPLICATE
cpb-aacip-398-00ns1wds,51165,DUPLICATE
cpb-aacip-398-00ns1wds,51180,DUPLICATE
cpb-aacip-398-00ns1wds,51195,DUPLICATE
cpb-aacip-398-00ns1wds,51210,DUPLICATE
cpb-aacip-398-00ns1wds,51225,DUPLICATE
cpb-aacip-398-00ns1wds,51240,DUPLICATE
cpb-aacip-398-00ns1wds,51255,DUPLICATE
cpb-aacip-398-00ns1wds,51270,no text in image
cpb-aacip-398-00ns1wds,51285,DUPLICATE
cpb-aacip-398-00ns1wds,51300,DUPLICATE
cpb-aacip-398-00ns1wds,51315,",DIRECTOR,Robert Kaiser"
cpb-aacip-398-00ns1wds,51330,DUPLICATE
cpb-aacip-398-00ns1wds,51345,DUPLICATE
cpb-aacip-398-00ns1wds,51360,DUPLICATE
cpb-aacip-398-00ns1wds,51375,DUPLICATE
cpb-aacip-398-00ns1wds,51390,DUPLICATE
cpb-aacip-398-00ns1wds,51405,DUPLICATE
cpb-aacip-398-00ns1wds,51420,DUPLICATE
cpb-aacip-398-00ns1wds,51435,DUPLICATE
cpb-aacip-398-00ns1wds,51450,DUPLICATE
cpb-aacip-398-00ns1wds,51465,DUPLICATE
cpb-aacip-398-00ns1wds,51480,DUPLICATE
cpb-aacip-398-00ns1wds,51495,DUPLICATE
cpb-aacip-398-00ns1wds,51510,DUPLICATE
cpb-aacip-398-00ns1wds,51525,DUPLICATE
cpb-aacip-398-00ns1wds,51540,DUPLICATE
cpb-aacip-398-00ns1wds,51555,no text in image
cpb-aacip-398-00ns1wds,51570,DUPLICATE
cpb-aacip-398-00ns1wds,51585,DUPLICATE
cpb-aacip-901dfeea4db,1020,no text in image
cpb-aacip-901dfeea4db,1035,DUPLICATE
cpb-aacip-901dfeea4db,1050,DUPLICATE
cpb-aacip-901dfeea4db,1065,DUPLICATE
cpb-aacip-901dfeea4db,107340,DUPLICATE
cpb-aacip-901dfeea4db,107355,DUPLICATE
cpb-aacip-901dfeea4db,107370,DUPLICATE
cpb-aacip-901dfeea4db,107385,DUPLICATE
cpb-aacip-901dfeea4db,107400,DUPLICATE
cpb-aacip-901dfeea4db,107415,DUPLICATE
cpb-aacip-901dfeea4db,107430,DUPLICATE
cpb-aacip-901dfeea4db,107445,DUPLICATE
cpb-aacip-901dfeea4db,107460,DUPLICATE
cpb-aacip-901dfeea4db,107475,DUPLICATE
cpb-aacip-901dfeea4db,107490,not K-V
cpb-aacip-901dfeea4db,107505,DUPLICATE
cpb-aacip-901dfeea4db,107520,DUPLICATE
cpb-aacip-901dfeea4db,107535,DUPLICATE
cpb-aacip-901dfeea4db,107550,no text in image
cpb-aacip-901dfeea4db,107565,DUPLICATE
cpb-aacip-901dfeea4db,107580,DUPLICATE
cpb-aacip-901dfeea4db,107595,DUPLICATE
cpb-aacip-901dfeea4db,107610,DUPLICATE
cpb-aacip-901dfeea4db,107625,",WRITTEN AND PRODUCED BY,MAYA ANGELOU"
cpb-aacip-901dfeea4db,107640,DUPLICATE
cpb-aacip-901dfeea4db,107655,DUPLICATE
cpb-aacip-901dfeea4db,107670,DUPLICATE
cpb-aacip-901dfeea4db,107685,DUPLICATE
cpb-aacip-901dfeea4db,107700,DUPLICATE
cpb-aacip-901dfeea4db,107715,no text in image
cpb-aacip-901dfeea4db,107730,DUPLICATE
cpb-aacip-901dfeea4db,107745,DUPLICATE
cpb-aacip-901dfeea4db,107760,DUPLICATE
cpb-aacip-901dfeea4db,107775,DUPLICATE
cpb-aacip-901dfeea4db,107790,DUPLICATE
cpb-aacip-901dfeea4db,107805,",DIRECTED BY,ROBERT HAGOPIAN"
cpb-aacip-901dfeea4db,107820,DUPLICATE
cpb-aacip-901dfeea4db,107835,DUPLICATE
cpb-aacip-901dfeea4db,107850,DUPLICATE
cpb-aacip-901dfeea4db,107865,DUPLICATE
cpb-aacip-901dfeea4db,107880,DUPLICATE
cpb-aacip-901dfeea4db,107895,no text in image
cpb-aacip-901dfeea4db,107910,DUPLICATE
cpb-aacip-901dfeea4db,107925,DUPLICATE
cpb-aacip-901dfeea4db,107940,DUPLICATE
cpb-aacip-901dfeea4db,107955,DUPLICATE
cpb-aacip-901dfeea4db,1080,DUPLICATE
cpb-aacip-901dfeea4db,1095,DUPLICATE
cpb-aacip-901dfeea4db,1110,DUPLICATE
cpb-aacip-901dfeea4db,1125,DUPLICATE
cpb-aacip-901dfeea4db,1260,not K-V
cpb-aacip-901dfeea4db,1275,DUPLICATE
cpb-aacip-901dfeea4db,1290,DUPLICATE
cpb-aacip-901dfeea4db,1305,DUPLICATE
cpb-aacip-901dfeea4db,1320,DUPLICATE
cpb-aacip-901dfeea4db,1335,DUPLICATE
cpb-aacip-901dfeea4db,1350,DUPLICATE
cpb-aacip-901dfeea4db,1365,DUPLICATE
cpb-aacip-901dfeea4db,1380,DUPLICATE
cpb-aacip-901dfeea4db,1395,no text in image
cpb-aacip-901dfeea4db,1410,DUPLICATE
