GUID,",","Series/Group              ,","Slate Start ,","Slate End   ,","Writing Types,",Recorded/Digital,,,",",format of most of the information,",",Anything moving on screen during slate?,
cpb-aacip-29-35t76n4f,",","Wisconsin Week            ,","00:00:04;20 ,","00:00:39;21 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-10wpzncg,",","North Carolina Now        ,","00:00:04;21 ,","00:00:13;16 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-293-13905s74,",","Evening Exchange          ,","00:00:04;21 ,","00:00:13;07 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-41-14nk9bkf,",","Carolina Journal          ,","00:00:04;22 ,","00:00:47;23 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-29-89280s5z,",","Prime Time Wisconsin      ,","00:00:04;22 ,","00:00:23;25 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-81-19f4qtzt,",","Woman                     ,","00:00:04;25 ,","00:00:20;00 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-214mwjjg,",","Art's the Thing           ,","00:00:04;25 ,","00:00:30;18 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-29-7634tw3m,",","Wisconsin Week            ,","00:00:04;25 ,","00:00:15;26 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-68kd58pq,",","Prime Time Wisconsin      ,","00:00:04;26 ,","00:00:14;25 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-235-92g7bgts,",","Outlook                   ,","00:00:04;26 ,","00:00:12;29 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-29b5mp5p,",","Sun Coast Business Forum  ,","00:00:04;26 ,","00:00:12;24 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-29-84mkm5rk,",","Wisconsin Week            ,","00:00:04;27 ,","00:00:18;11 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-41-644qrngt,",","Carolina Journal          ,","00:00:04;28 ,","00:00:24;08 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-41-644qrnhh,",","Carolina Journal          ,","00:00:04;28 ,","00:00:27;08 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-29-29p2nkpp,",","Wisconsin Week            ,","00:00:04;28 ,","00:00:44;19 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-19f4qz4f,",","North Carolina Now        ,","00:00:04;29 ,","00:00:14;03 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-81-558czgg5,",","Woman                     ,","00:00:04;29 ,","00:00:20;16 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",background movement,
cpb-aacip-41-33dz0cwr,",","Carolina Journal          ,","00:00:04;29 ,","00:00:32;22 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-129-76rxwqnr,",","North Carolina Now        ,","00:00:04;29 ,","00:00:13;14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-41-171vhkmr,",","Carolina Journal          ,","00:00:05;01 ,","00:00:29;00 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-41-579s4tcv,",","Carolina Journal          ,","00:00:05;01 ,","00:00:35;21 ,","typed        ,",digital?,,,",",free text,",",no,
cpb-aacip-322-074tmqt8,",","Up Close with Cathy Unruh ,","00:00:05;01 ,","00:00:12;29 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-41-16pzgq2f,",","Carolina Journal          ,","00:00:05;02 ,","00:00:28;25 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-235-18dfp1rn,",","Outlook                   ,","00:00:05;02 ,","00:00:13;04 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-41-35gb5r1d,",","Carolina Journal          ,","00:00:05;03 ,","00:00:29;04 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-29-78tb30x7,",","Wisconsin Week            ,","00:00:05;03 ,","00:00:18;03 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-322-24jm66h7,",","Up Close with Cathy Unruh ,","00:00:05;03 ,","00:00:13;03 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-36tx99km,",","Up Close with Cathy Unruh ,","00:00:05;03 ,","00:00:13;02 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-322-569324rj,",","Up Close with Cathy Unruh ,","00:00:05;03 ,","00:00:13;02 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-62s4n2mj,",","Sun Coast Business Forum  ,","00:00:05;03 ,","00:00:13;02 ,","typed        ,",digital,,,",",free text,",",countdown,
cpb-aacip-129-2683brgn,",","North Carolina Now        ,","00:00:05;04 ,","00:00:19;23 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-189-27zkh41j,",","The Rochester I Know      ,","00:00:05;04 ,","00:00:56;04 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-48ffbldb,",","Up Close with Cathy Unruh ,","00:00:05;04 ,","00:00:13;03 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-29-41mgqtx3,",","Prime Time Wisconsin      ,","00:00:05;06 ,","00:00:15;05 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-41-655dvb4p,",","Carolina Journal          ,","00:00:05;06 ,","00:00:28;13 ,","typed        ,",digital?,,,",",free text,",",no,
cpb-aacip-322-89d51ncg,",","Up Close with Cathy Unruh ,","00:00:05;06 ,","00:00:13;05 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-322-924b8scw,",","Sun Coast Business Forum  ,","00:00:05;06 ,","00:00:13;05 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-29-784j17c1,",","Wisconsin Week            ,","00:00:05;07 ,","00:00:22;17 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-60qrfv0q,",","North Carolina Now        ,","00:00:05;07 ,","00:00:27;110,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-41-7634tvxz,",","Carolina Journal          ,","00:00:05;07 ,","00:00:33;24 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-41-17qnkc9c,",","Carolina Journal          ,","00:00:05;07 ,","00:00:32;24 ,","typed        ,",digital?,,,",",free text,",",no,
cpb-aacip-41-84mkm5br,",","Carolina Journal          ,","00:00:05;07 ,","00:00:32;28 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-129-69z08wkv,",","North Carolina Now        ,","00:00:05;08 ,","00:00:17;26 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-81-032281c4,",","Woman                     ,","00:00:05;08 ,","00:00:19;08 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-81-49t1g6kv,",","Woman                     ,","00:00:05;08 ,","00:00:15;09 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-235-67wm48rb,",","Outlook                   ,","00:00:05;08 ,","00:00:13;10 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-720cg4wt,",","Sun Coast Business Forum  ,","00:00:05;08 ,","00:00:15;09 ,","typed        ,",digital,,,",",free text,",",no,
cpb-aacip-81-34fn32xq,",","Woman                     ,","00:00:05;09 ,","00:00:15;12 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-189-86b2rmdf,",","The Rochester I Know      ,","00:00:05;09 ,","00:00:21;15 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-31qftx5z,",","Sun Coast Business Forum  ,","00:00:05;09 ,","00:00:13;17 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-129-66j1009t,",","North Carolina Now        ,","00:00:05;10 ,","00:00:22;02 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-81-11xd26xt,",","Woman                     ,","00:00:05;10 ,","00:00:11;27 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-81-988gttr0,",","Woman                     ,","00:00:05;10 ,","00:00:15;14 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-129-2683brhc,",","North Carolina Now        ,","00:00:05;10 ,","00:00:20;18 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-129-87pnw91c,",","North Carolina Now        ,","00:00:05;10 ,","00:00:17;28 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-81-708w9q47,",","Woman                     ,","00:00:05;11 ,","00:00:14;27 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-235-36548ck9,",","Outlook                   ,","00:00:05;11 ,","00:00:13;12 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-04rjdg2h,",","Sun Coast Business Forum  ,","00:00:05;11 ,","00:00:08;10 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-235-988gvq43,",","Outlook                   ,","00:00:05;119,","00:00:13;22 ,","typed      ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-81-48sbchx0,",","Woman                     ,","00:00:05;12 ,","00:00:16;03,","fixed,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-129-34sj422h,",","North Carolina Now        ,","00:00:05;12 ,","00:00:17;04 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-81-90dv4bd1,",","Woman                     ,","00:00:05;12 ,","00:00:15;27 ,","handwriting  ,",recorded,,,",",key-value pairs,",",no,
cpb-aacip-129-8605qtdf,",","North Carolina Now        ,","00:00:05;12 ,","00:00:16;19 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-322-61rfjd1l,",","Up Close with Cathy Unruh ,","00:00:05;12 ,","00:00:13;11 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-81-74qjq9nj,",","Woman                     ,","00:00:05;13 ,","00:00:13;21 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-129-76f1vvrm,",","North Carolina Now        ,","00:00:05;13 ,","00:00:09;24 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-189-12m64032,",","The Rochester I Know      ,","00:00:05;14 ,","00:00:16;26 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-9673ng3q,",","Sun Coast Business Forum  ,","00:00:05;14 ,","00:00:13;17 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-81-30bvqccj,",","Woman                     ,","00:00:05;15 ,","00:00:14;09 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-81-74cnpdn4,",","Woman                     ,","00:00:05;15 ,","00:00:19;18 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-816m97tj,",","Carolina Journal          ,","00:00:05;15 ,","00:00:32;20 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-322-3331zgm4,",","Sun Coast Business Forum  ,","00:00:05;15 ,","00:00:13;14 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-81-65v6x4b5,",","Woman                     ,","00:00:05;16 ,","00:00:14;26 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-235-19f4rq7f,",","Outlook                   ,","00:00:05;16 ,","00:00:13;18 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-13lw6ngj,",","Up Close with Cathy Unruh ,","00:00:05;16 ,","00:00:13;15 ,","typed        ,",digital,,,",",free text,",",countdown; animation,
cpb-aacip-129-042rbs7d,",","North Carolina Now        ,","00:00:05;17 ,","00:00:12;05 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-293-68kd582n,",","Evening Exchange          ,","00:00:05;17 ,","00:00:12;27 ,","typed        ,",digital,,,",",key-value pairs,",",background animation,
cpb-aacip-129-78gf26qv,",","North Carolina Now        ,","00:00:05;17 ,","00:00:17;14 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-322-29b5mp4z,",","Sun Coast Business Forum  ,","00:00:05;17 ,","00:00:13;16 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-235-580k7dqh,",","Outlook                   ,","00:00:05;18 ,","00:00:13;20 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-98mcvqxc,",","Sun Coast Business Forum  ,","00:00:05;18 ,","00:00:13;17 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-29-50tqjw98,",","Wisconsin Week            ,","00:00:05;19 ,","00:00:40;12 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-9995xhq3,",","Wisconsin Week            ,","00:00:05;21 ,","00:00:23;20 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-91fj72nc,",","North Carolina Now        ,","00:00:05;22 ,","00:00:21;22 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-293-31cjt22h,",","Evening Exchange          ,","00:00:05;23 ,","00:00:17;05 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-322-73bzkqbw,",","Sun Coast Business Forum  ,","00:00:05;23 ,","00:00:08;20 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-189-80vq8bgg,",","The Rochester I Know      ,","00:00:05;24 ,","00:00:38;00 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-235-042rcjzf,",","Outlook                   ,","00:00:05;24 ,","00:00:13;25 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-03cz8wl6,",","Up Close with Cathy Unruh ,","00:00:05;24 ,","00:00:13;12 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-81-2683bnv7,",","Woman                     ,","00:00:05;25 ,","00:00:15;00 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-21ghx61z,",","Carolina Journal          ,","00:00:05;25 ,","00:00:35;23 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-41-708w9q63,",","Carolina Journal          ,","00:00:05;25 ,","00:00:29;16 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-41-78tb30hd,",","Carolina Journal          ,","00:00:05;25 ,","00:00:34;01 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-81-902z3f9j,",","Woman                     ,","00:00:05;25 ,","00:00:16;13 ,","handwriting  ,",recorded (and very out of focus),,,",",key-value pairs,",",no,
cpb-aacip-29-57np5qmn,",","Wisconsin Week            ,","00:00:05;26 ,","00:00:20;23 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-214mwd83,",","North Carolina Now        ,","00:00:05;29 ,","00:00:14;28 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-189-67jq2jzc,",","The Rochester I Know      ,","00:00:06;00 ,","00:00:20;19 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-41-39k3jfhm,",","Carolina Journal          ,","00:00:06;01 ,","00:00:33;13 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-293-30prr83h,",","Evening Exchange          ,","00:00:06;01 ,","00:00:11;26 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-322-93ttf72k,",","Sun Coast Business Forum  ,","00:00:06;03 ,","00:00:14;02 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-81-23hx3j34,",","Woman                     ,","00:00:06;04 ,","00:00:23;20 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-21tdz99t,",","Art's the Thing           ,","00:00:06;04 ,","00:00:40;17 ,","typed        ,",digital?,,,",",key-value pairs,",",countdown,
cpb-aacip-322-31qftx7d,",","Sun Coast Business Forum  ,","00:00:06;04 ,","00:00:14;03 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-189-53jwt0jf,",","The Rochester I Know      ,","00:00:06;05 ,","00:00:25;11 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-235-42n5v9dk,",","Outlook                   ,","00:00:06;08 ,","00:00:14;11 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-81-49g4f9z1,",","Woman                     ,","00:00:06;11 ,","00:00:15;18 ,","handwriting  ,",recorded,,,",",boxes to fill in,",",no,
cpb-aacip-41-009w13fb,",","Art's the Thing           ,","00:00:06;11 ,","00:00:24;04 ,","typed        ,",digital?,,,",",free text,",",no,
cpb-aacip-41-569324rv,",","Carolina Journal          ,","00:00:06;17 ,","00:00:29;15 ,","typed        ,",digital?,,,",",key-value pairs,",",countdown,
cpb-aacip-293-0966t2q0,",","Evening Exchange          ,","00:00:06;18 ,","00:00:13;22 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-41-48sbchtd,",","Carolina Journal          ,","00:00:06;19 ,","00:00:37;22 ,","typed        ,",digital?,,,",",free text,",",countdown,
cpb-aacip-322-3976hjwj,",","Up Close with Cathy Unruh ,","00:00:06;23 ,","00:00:14;22 ,","typed        ,",digital,,,",",key-value pairs,",",countdown; animation,
cpb-aacip-322-95w6mkvh,",","Up Close with Cathy Unruh ,","00:00:06;28 ,","00:00:14;28 ,","typed        ,",digital,,,",",key-value pairs,",",background animation,
cpb-aacip-189-65h9w6k3,",","The Rochester I Know      ,","00:00:07;00 ,","00:00:29;01 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-29-95w6mmcg,",","Prime Time Wisconsin      ,","00:00:07;01 ,","00:00:27;25 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-129-83xsjgjh,",","North Carolina Now        ,","00:00:07;01 ,","00:00:14;08 ,","typed        ,",digital,,,",",boxes to fill in,",",no,
cpb-aacip-29-46254dmz,",","Prime Time Wisconsin      ,","00:00:07;02 ,","00:00:17;01 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-29-7312jv8m,",","Prime Time Wisconsin      ,","00:00:07;03 ,","00:00:17;01 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-189-09w0vv3c,",","The Rochester I Know      ,","00:00:08;01 ,","00:00:36;28 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-189-580k6krh,",","Speaking of Rochester     ,","00:00:08;01 ,","00:00:14;17 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-189-80ht7fms,",","The Rochester I Know      ,","00:00:08;07 ,","00:00:34;01 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-293-3331zh63,",","Evening Exchange          ,","00:00:08;20 ,","00:00:17;02 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-189-07tmph2c,",","The Rochester I Know      ,","00:00:08;20 ,","00:00:23;01 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-235-47rn9r0k,",","Outlook                   ,","00:00:09;02 ,","00:00:17;03 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-3331zh3z,",","Up Close with Cathy Unruh ,","00:00:09;07 ,","00:00:14;06 ,","typed        ,",digital,,,",",free text,",",no,
cpb-aacip-189-93ttf74w,",","The Rochester I Know      ,","00:00:09;08 ,","00:00:19;13 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-293-60cvdv8f,",","Evening Exchange          ,","00:00:09;11 ,","00:00:21;28 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-235-86b2sgc4,",","Outlook                   ,","00:00:09;15 ,","00:00:17;16 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-322-52w3r6lw,",","Up Close with Cathy Unruh ,","00:00:09;15 ,","00:00:14;14 ,","typed        ,",digital,,,",",free text,",",no,
cpb-aacip-29-95w6mm5b,",","Wisconsin Week            ,","00:00:09;21 ,","00:00:24;29 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-235-20ftvbhk,",","Outlook                   ,","00:00:09;25 ,","00:00:17;26 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-293-34sj3xzh,",","Evening Exchange          ,","00:00:09;26 ,","00:00:19;25 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-322-62s4n3bf,",","Up Close with Cathy Unruh ,","00:00:09;27 ,","00:00:19;26 ,","typed        ,",digital,,,",",free text,",",no,
cpb-aacip-235-15bcd0gv,",","Outlook                   ,","00:00:09;28 ,","00:00:17;29 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-200-805x6m6x,",","Across Indiana            ,","00:00:09;29 ,","00:00:23;03 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-189-68kd57j0,",","The Rochester I Know      ,","00:00:10;07 ,","00:00:26;28 ,","typed        ,",digital,,,",",key-value pairs,",",no,
cpb-aacip-200-708w9qpq,",","Across Indiana            ,","00:00:10;08 ,","00:00:23;12 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-200-36tx9bnn,",","Across Indiana            ,","00:00:10;10 ,","00:00:23;14 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
cpb-aacip-200-31qftz5j,",","Across Indiana            ,","00:00:10;13 ,","00:00:23;17 ,","typed        ,",digital,,,",",key-value pairs,",",countdown,
